Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,,,Category,Sub-Category,Product Name,Sales
22/11/2016,26/11/2016,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
22/11/2016,26/11/2016,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,,,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
11/11/2015,18/11/2015,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
13/05/2015,15/05/2015,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,,,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
27/08/2015,1/9/2015,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,Newell 341,,,Office Supplies,Art,Newell 341,8.56
27/08/2015,1/9/2015,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,Cisco SPA 501G IP Phone,,,Technology,Phones,Cisco SPA 501G IP Phone,213.48
27/08/2015,1/9/2015,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",,,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
9/12/2017,13/12/2017,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,Newell 318,,,Office Supplies,Art,Newell 318,19.46
9/12/2017,13/12/2017,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",,,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
16/07/2018,18/07/2018,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",,,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
25/09/2016,30/09/2016,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,,,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
16/01/2017,20/01/2017,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,Wilson Jones Active Use Binders,,,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
16/01/2017,20/01/2017,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
17/09/2016,21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
17/09/2016,21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,,,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
17/09/2016,21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
17/09/2016,21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,Poly String Tie Envelopes,,,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
17/09/2016,21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",,,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
17/09/2016,21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
17/09/2016,21/09/2016,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,Lumber Crayons,,,Office Supplies,Art,Lumber Crayons,15.76
19/10/2018,23/10/2018,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,Easy-staple paper,,,Office Supplies,Paper,Easy-staple paper,29.472
8/12/2017,10/12/2017,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,GE 30524EE4,,,Technology,Phones,GE 30524EE4,1097.544
8/12/2017,10/12/2017,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
27/12/2016,31/12/2016,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
27/12/2016,31/12/2016,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
27/12/2016,31/12/2016,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",,,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
27/12/2016,31/12/2016,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,Plantronics HL10 Handset Lifter,,,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
10/9/2018,15/09/2018,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,Panasonic Kx-TS550,,,Technology,Phones,Panasonic Kx-TS550,147.168
17/07/2017,22/07/2017,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",,,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
19/09/2018,23/09/2018,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",,,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
11/3/2017,13/03/2017,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",,,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
11/3/2017,13/03/2017,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,,,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
20/10/2015,25/10/2015,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
20/06/2017,25/06/2017,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45
20/06/2017,25/06/2017,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",,,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
18/04/2016,22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
18/04/2016,22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,Avery 485,,,Office Supplies,Labels,Avery 485,75.18
18/04/2016,22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,,,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
18/04/2016,22/04/2016,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,"Global Leather Task Chair, Black",,,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
11/12/2017,17/12/2017,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,Advantus Push Pins,,,Office Supplies,Fasteners,Advantus Push Pins,15.26
11/12/2017,17/12/2017,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,,,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
17/06/2017,18/06/2017,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,,,Office Supplies,Storage,Home/Office Personal File Carts,208.56
17/06/2017,18/06/2017,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,Xerox 232,,,Office Supplies,Paper,Xerox 232,32.4
17/06/2017,18/06/2017,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,,,Furniture,Chairs,Novimex Turbo Task Chair,319.41
17/06/2017,18/06/2017,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",,,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
17/06/2017,18/06/2017,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30
17/06/2017,18/06/2017,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,Plastic Binding Combs,,,Office Supplies,Binders,Plastic Binding Combs,48.48
17/06/2017,18/06/2017,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,,,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
24/11/2016,30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",,,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
24/11/2016,30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",,,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
24/11/2016,30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,Xerox 1943,,,Office Supplies,Paper,Xerox 1943,146.73
24/11/2016,30/11/2016,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,,,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
30/04/2016,5/5/2016,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",,,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
5/12/2015,10/12/2015,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",,,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
5/12/2015,10/12/2015,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,netTALK DUO VoIP Telephone Service,,,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
4/6/2017,6/6/2017,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",,,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
18/09/2017,23/09/2017,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,,,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
14/09/2018,17/09/2018,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
26/04/2016,2/5/2016,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,High-Back Leather Manager's Chair,,,Furniture,Chairs,High-Back Leather Manager's Chair,831.936
26/04/2016,2/5/2016,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",,,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
26/04/2016,2/5/2016,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,,,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
9/12/2018,11/12/2018,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,Economy Binders,,,Office Supplies,Binders,Economy Binders,1.248
9/12/2018,11/12/2018,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",,,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
9/12/2018,11/12/2018,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",,,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
26/11/2015,1/12/2015,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
12/6/2017,15/06/2017,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
12/6/2017,15/06/2017,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,,,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
12/10/2015,16/10/2015,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",,,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
12/10/2015,16/10/2015,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",,,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
3/9/2016,8/9/2016,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,,,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
13/11/2018,16/11/2018,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,,,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
28/05/2018,30/05/2018,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,,,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
26/10/2018,2/11/2018,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,,,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
26/10/2018,2/11/2018,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,Avery 511,,,Office Supplies,Labels,Avery 511,6.16
5/4/2017,10/4/2017,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,,,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
17/09/2017,22/09/2017,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,,,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
17/09/2017,22/09/2017,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,Panasonic Kx-TS550,,,Technology,Phones,Panasonic Kx-TS550,73.584
17/09/2017,22/09/2017,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,Xerox 1995,,,Office Supplies,Paper,Xerox 1995,6.48
31/01/2016,5/2/2016,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,Xerox 1999,,,Office Supplies,Paper,Xerox 1999,12.96
31/01/2016,5/2/2016,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",,,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
31/01/2016,5/2/2016,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,,,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
6/11/2018,12/11/2018,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,,,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
9/11/2018,11/11/2018,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,,,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
17/06/2018,20/06/2018,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,Trimflex Flexible Post Binders,,,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
6/9/2017,11/9/2017,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,,,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
29/08/2017,2/9/2017,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,,,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
29/08/2017,2/9/2017,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,,,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
29/08/2017,2/9/2017,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,,,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
1/12/2017,4/12/2017,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),,,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
13/11/2016,17/11/2016,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,,,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
13/11/2016,17/11/2016,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",,,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
13/11/2016,17/11/2016,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",,,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
23/11/2018,28/11/2018,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
23/11/2018,28/11/2018,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,Speck Products Candyshell Flip Case,,,Technology,Phones,Speck Products Candyshell Flip Case,27.992
23/11/2018,28/11/2018,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,Newell Chalk Holder,,,Office Supplies,Art,Newell Chalk Holder,3.304
15/10/2016,20/10/2016,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,,,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
25/12/2018,30/12/2018,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,,,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
3/11/2017,10/11/2017,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",,,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
3/11/2017,10/11/2017,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",,,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
25/08/2015,27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",,,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
25/08/2015,27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",,,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
25/08/2015,27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,Xerox 1921,,,Office Supplies,Paper,Xerox 1921,23.976
25/08/2015,27/08/2015,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",,,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
2/3/2016,6/3/2016,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,Hon Racetrack Conference Tables,,,Furniture,Tables,Hon Racetrack Conference Tables,787.53
5/4/2016,10/4/2016,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,,,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
